time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
1.760000000000001286e-01,4.291137479379984465e-01,-9.656777232844757641e-01,3.306983249388858237e+00,-7.844315868507838907e+00,0.000000000000000000e+00,-1.409532785415649414e+00
1.780000000000001303e-01,4.357106772279852880e-01,-9.813488672919833400e-01,3.289821851018373877e+00,-7.826613473421342171e+00,0.000000000000000000e+00,-1.410712480545043945e+00
1.800000000000001321e-01,4.422725998099361067e-01,-9.969834496510917576e-01,3.271980965618738413e+00,-7.807763906884175320e+00,0.000000000000000000e+00,-1.411918401718139648e+00
1.820000000000001339e-01,4.487981836099633748e-01,-1.012579234940622186e+00,3.253487358989452183e+00,-7.787825804496066873e+00,0.000000000000000000e+00,-1.413147687911987305e+00
1.840000000000001357e-01,4.552861491341425593e-01,-1.028134102985362341e+00,3.234366843586998108e+00,-7.766855773001417163e+00,0.000000000000000000e+00,-1.414397001266479492e+00
1.860000000000001374e-01,4.617352675370822168e-01,-1.043646044745162316e+00,3.214644254596707551e+00,-7.744908338763450750e+00,0.000000000000000000e+00,-1.415663480758666992e+00
1.880000000000001392e-01,4.681443586884456165e-01,-1.059113158198406790e+00,3.194343471597297590e+00,-7.722035993237591711e+00,0.000000000000000000e+00,-1.416944503784179688e+00
1.900000000000001410e-01,4.745122892753644295e-01,-1.074533644300331492e+00,3.173487432763172578e+00,-7.698289222285068512e+00,0.000000000000000000e+00,-1.418236970901489258e+00
1.920000000000001428e-01,4.808379709064350971e-01,-1.089905802942309654e+00,3.152098122290886373e+00,-7.673716477910467404e+00,0.000000000000000000e+00,-1.419538974761962891e+00
1.940000000000001446e-01,4.871203582633387708e-01,-1.105228029009951651e+00,3.130196630288846649e+00,-7.648364304732742980e+00,0.000000000000000000e+00,-1.420847892761230469e+00
1.960000000000001463e-01,4.933584472944697596e-01,-1.120498808527663703e+00,3.107803135126039784e+00,-7.622277300412278578e+00,0.000000000000000000e+00,-1.422161579132080078e+00
1.980000000000001481e-01,4.995512734254330400e-01,-1.135716714835349084e+00,3.084936937723808725e+00,-7.595498186914540817e+00,0.000000000000000000e+00,-1.423477888107299805e+00
2.000000000000001499e-01,5.056979098200672373e-01,-1.150880404868822593e+00,3.061616477810932047e+00,-7.568067842996145878e+00,0.000000000000000000e+00,-1.424794912338256836e+00
2.020000000000001517e-01,5.117974656852196658e-01,-1.165988615529073291e+00,3.037859361342398312e+00,-7.540025360408231236e+00,0.000000000000000000e+00,-1.426111221313476562e+00
2.040000000000001534e-01,5.178490846406782477e-01,-1.181040160185940602e+00,3.013682398163375797e+00,-7.511408121961326678e+00,0.000000000000000000e+00,-1.427424669265747070e+00
2.060000000000001552e-01,5.238519431185579833e-01,-1.196033925239387452e+00,2.989101593927174783e+00,-7.482251781290882420e+00,0.000000000000000000e+00,-1.428733825683593750e+00
2.080000000000001570e-01,5.298052488041096186e-01,-1.210968866763564078e+00,2.964132199365318687e+00,-7.452590365432127939e+00,0.000000000000000000e+00,-1.430037498474121094e+00
2.100000000000001588e-01,5.357082391562472123e-01,-1.225844007315653572e+00,2.938788740772556807e+00,-7.422456337092427248e+00,0.000000000000000000e+00,-1.431334257125854492e+00
2.120000000000001605e-01,5.415601799713478659e-01,-1.240658432831134528e+00,2.913085032828839793e+00,-7.391880618854168361e+00,0.000000000000000000e+00,-1.432622671127319336e+00
2.140000000000001623e-01,5.473603639826906120e-01,-1.255411289588716617e+00,2.887034201355472174e+00,-7.360892638527138487e+00,0.000000000000000000e+00,-1.433902025222778320e+00
2.160000000000001641e-01,5.531081095322006869e-01,-1.270101781323531576e+00,2.860648732750719070e+00,-7.329520431832182936e+00,0.000000000000000000e+00,-1.435170888900756836e+00
2.180000000000001659e-01,5.588027592875719485e-01,-1.284729166430619740e+00,2.833940470093538000e+00,-7.297790630313714999e+00,0.000000000000000000e+00,-1.436428546905517578e+00
2.200000000000001676e-01,5.644436790050744168e-01,-1.299292755259114251e+00,2.806920662524425403e+00,-7.265728563744039192e+00,0.000000000000000000e+00,-1.437674403190612793e+00
2.220000000000001694e-01,5.700302563683197210e-01,-1.313791907562242400e+00,2.779599991882760968e+00,-7.233358313648714066e+00,0.000000000000000000e+00,-1.438907384872436523e+00
2.240000000000001712e-01,5.755618998588777346e-01,-1.328226030008119229e+00,2.751988577977206418e+00,-7.200702720673898938e+00,0.000000000000000000e+00,-1.440127015113830566e+00
2.260000000000001730e-01,5.810380376760819754e-01,-1.342594573788448375e+00,2.724096022360702030e+00,-7.167783474858210546e+00,0.000000000000000000e+00,-1.441332340240478516e+00
